numSource numTargets
5 250
Source Coordinates
31.92 0.94
49.47 56.03
79.86 88.71
75.45 66.91
51.41 40.26
Target Coordinates
46.88 65.85
54.40 36.72
27.53 69.45
38.77 26.85
19.11 96.59
75.32 49.54
60.25 16.31
64.59 73.65
74.51 32.87
62.30 60.34
5.95 60.59
17.12 78.61
63.45 21.32
62.99 95.30
14.77 48.11
43.19 17.18
1.84 10.25
40.78 22.71
64.04 75.29
0.39 7.92
57.54 3.68
22.24 44.38
77.42 87.58
43.85 33.11
24.29 15.24
79.08 43.57
70.13 48.80
45.67 15.47
76.24 41.59
56.54 75.81
66.93 76.52
34.57 60.41
29.24 31.24
25.26 55.46
49.30 8.96
44.28 67.83
47.14 61.48
16.64 83.74
61.86 10.07
56.04 44.90
73.81 74.37
17.03 96.15
56.93 21.08
59.58 49.34
7.32 39.65
40.12 38.51
71.22 55.58
63.43 44.97
5.33 89.49
39.27 16.65
33.60 10.84
28.03 77.52
46.70 57.21
23.82 27.17
74.76 0.76
50.19 12.07
37.01 31.81
11.35 23.32
52.47 42.98
14.78 52.24
20.08 96.76
76.20 36.38
26.31 9.47
7.15 2.49
1.30 54.01
60.46 47.05
21.30 53.94
45.74 10.68
20.26 27.53
65.95 74.73
11.64 31.26
16.55 28.24
75.24 78.39
32.83 29.45
32.77 34.94
73.79 14.96
8.13 72.49
3.96 37.97
67.42 70.54
49.48 49.78
33.15 71.02
48.30 91.12
75.81 1.07
37.59 96.17
32.91 60.34
8.10 99.46
8.62 4.28
60.85 7.68
17.82 89.68
50.42 93.29
73.06 80.28
30.89 21.95
31.08 16.63
22.99 95.19
77.54 15.23
60.12 95.23
56.89 56.92
68.30 30.65
32.25 54.03
40.92 60.31
15.58 68.92
36.79 66.67
4.89 15.52
56.62 3.52
36.46 19.76
53.89 70.68
37.78 77.71
37.97 68.41
40.20 9.51
75.33 35.64
26.38 21.87
57.75 65.19
21.91 30.25
43.25 47.10
58.81 44.21
17.87 78.02
5.04 54.39
55.37 20.21
0.93 27.85
8.83 98.31
40.10 42.80
18.04 76.12
19.73 91.18
50.86 9.89
8.26 1.53
66.16 21.23
65.68 76.21
63.37 64.04
53.38 5.16
56.40 48.74
56.08 81.51
66.13 59.12
65.88 93.63
11.44 0.90
15.98 63.36
6.01 22.90
60.22 17.60
29.00 94.35
66.47 28.87
18.21 27.46
47.84 12.12
56.32 45.58
11.02 71.36
42.58 20.25
69.23 66.70
0.60 98.29
48.71 34.97
64.65 96.01
78.10 61.66
7.13 55.97
1.85 39.98
59.89 19.72
28.93 52.84
29.53 18.04
7.22 64.10
67.38 33.40
10.61 94.40
25.97 18.01
38.30 59.67
54.33 60.98
17.83 24.06
48.63 13.99
66.91 73.00
38.68 80.74
70.62 51.26
6.28 45.85
34.77 32.67
37.67 17.26
22.60 53.45
39.48 98.96
73.66 42.65
43.40 11.26
43.94 61.79
74.39 14.88
56.22 6.05
45.12 90.51
56.08 76.54
69.64 87.48
27.95 10.14
59.25 58.72
13.44 6.81
19.03 6.85
22.83 36.51
56.92 61.27
27.74 21.18
33.48 60.65
72.30 17.02
1.94 32.72
57.17 69.15
46.11 91.59
7.39 98.63
68.11 17.29
34.08 65.43
62.81 81.48
72.39 94.32
16.53 25.59
70.07 73.46
47.70 25.27
37.99 45.09
48.27 20.47
16.14 80.39
9.50 28.11
44.43 51.61
15.40 29.34
3.67 90.88
62.25 13.53
75.85 71.09
14.95 27.00
37.20 57.74
54.67 47.94
41.18 1.61
42.95 22.99
29.81 53.69
6.36 29.22
0.28 20.50
61.96 59.68
75.60 84.67
33.06 50.25
30.52 98.39
16.68 76.74
27.16 28.42
38.00 63.98
50.48 98.70
50.12 40.13
64.63 91.57
46.02 11.38
71.57 91.98
68.40 89.27
24.92 72.97
22.62 87.43
44.36 55.32
11.27 33.57
44.72 86.59
42.80 20.13
56.41 22.29
36.16 10.92
48.77 55.14
49.81 56.14
43.29 85.70
77.83 19.38
32.09 60.12
33.57 13.03
65.38 26.63
76.39 99.17
44.30 12.44
24.26 90.49
67.76 97.71
25.96 74.79
24.29 8.70
19.45 42.12
EOF
