numSources,5
numTargets,250
pNorm,fairnessCoefficient,comp_time_instance_1,comp_time_instance_2,comp_time_instance_3,comp_time_instance_4,comp_time_instance_5,comp_time_instance_6,comp_time_instance_7,comp_time_instance_8,comp_time_instance_9,comp_time_instance_10,comp_time_instance_11,comp_time_instance_12,comp_time_instance_13,comp_time_instance_14,comp_time_instance_15,comp_time_instance_16,comp_time_instance_17,comp_time_instance_18,comp_time_instance_19,comp_time_instance_20,comp_time_instance_21,comp_time_instance_22,comp_time_instance_23,comp_time_instance_24,comp_time_instance_25,comp_time_instance_26,comp_time_instance_27,comp_time_instance_28,comp_time_instance_29,comp_time_instance_30,comp_time_instance_31,comp_time_instance_32,comp_time_instance_33,comp_time_instance_34,comp_time_instance_35,comp_time_instance_36,comp_time_instance_37,comp_time_instance_38,comp_time_instance_39,comp_time_instance_40,comp_time_instance_41,comp_time_instance_42,comp_time_instance_43,comp_time_instance_44,comp_time_instance_45,comp_time_instance_46,comp_time_instance_47,comp_time_instance_48,comp_time_instance_49,comp_time_instance_50
2,0.1,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2,0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
2,0.7,0.06,0.04,0.05,0.04,0.06,0.05,0.03,0.05,0.05,0.03,0.06,0.06,0.06,0.05,0.06,0.03,0.04,0.05,0.04,0.04,0.03,0.06,0.04,0.04,0.05,0.06,0.08,0.05,0.04,0.03,0.05,0.05,0.05,0.03,0.04,0.05,0.06,0.06,0.04,0.06,0.03,0.04,0.04,0.06,0.06,0.06,0.06,0.04,0.05,0.06
2,0.9,0.07,0.06,0.07,0.08,0.06,0.06,0.09,0.06,0.05,0.07,0.06,0.06,0.06,0.06,0.07,0.05,0.04,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.07,0.07,0.05,0.06,0.07,0.05,0.07,0.06,0.06,0.05,0.07,0.06,0.08,0.15,0.07,0.05,0.07,0.06,0.05,0.06,0.07,0.05,0.08,0.05,0.08,0.05
2,0.99,0.1,0.16,0.08,0.18,0.09,0.09,0.19,0.06,0.09,0.11,0.08,0.1,0.08,0.07,0.1,0.09,0.07,0.09,0.09,0.1,0.1,0.09,0.08,0.12,0.18,0.14,0.09,0.08,0.1,0.09,0.07,0.1,0.16,0.12,0.09,0.08,0.12,0.07,0.07,0.14,0.1,0.08,0.09,0.13,0.07,0.14,0.1,0.1,0.08,0.11
3,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
3,0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
3,0.5,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.05,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.04,0.03,0.02,0.02,0.02,0.03,0.05,0.04,0.02,0.04,0.04,0.06,0.02,0.03,0.04,0.02,0.02,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.06,0.02,0.02
3,0.7,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.06,0.06,0.06,0.04,0.05,0.05,0.08,0.06,0.04,0.05,0.04,0.04,0.06,0.05,0.05,0.04,0.04,0.05,0.06,0.07,0.04,0.04,0.05,0.05,0.06,0.08,0.05,0.06,0.06,0.05,0.07,0.04,0.07,0.06,0.06,0.06,0.06,0.05,0.07,0.06,0.05,0.05,0.05
3,0.9,0.07,0.06,0.06,0.09,0.06,0.08,0.06,0.06,0.06,0.12,0.07,0.06,0.07,0.07,0.1,0.07,0.09,0.08,0.06,0.06,0.08,0.07,0.07,0.05,0.07,0.07,0.08,0.06,0.08,0.07,0.08,0.07,0.08,0.08,0.08,0.05,0.06,0.11,0.06,0.08,0.07,0.06,0.07,0.07,0.08,0.08,0.08,0.06,0.12,0.07
3,0.99,0.15,0.14,0.09,0.08,0.08,0.12,0.09,0.08,0.08,0.13,0.09,0.15,0.09,0.14,0.09,0.13,0.09,0.11,0.11,0.11,0.11,0.1,0.44,0.13,0.25,0.1,0.11,0.1,0.13,0.22,0.13,0.13,0.13,0.08,0.09,0.1,0.09,0.16,0.14,0.09,0.14,0.13,0.12,0.12,0.08,0.07,0.09,0.15,0.15,0.12
5,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
5,0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
5,0.5,0.04,0.05,0.05,0.02,0.05,0.03,0.05,0.04,0.03,0.02,0.03,0.05,0.07,0.03,0.03,0.02,0.03,0.05,0.04,0.05,0.04,0.03,0.02,0.04,0.04,0.05,0.03,0.04,0.03,0.04,0.03,0.03,0.05,0.03,0.04,0.05,0.05,0.04,0.03,0.04,0.03,0.02,0.03,0.03,0.07,0.03,0.05,0.03,0.04,0.05
5,0.7,0.06,0.06,0.06,0.06,0.05,0.06,0.07,0.06,0.05,0.06,0.05,0.05,0.06,0.07,0.06,0.06,0.06,0.07,0.05,0.05,0.06,0.06,0.06,0.04,0.08,0.05,0.04,0.05,0.06,0.05,0.06,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.08,0.06,0.05,0.06,0.03,0.06,0.06,0.06,0.07,0.05,0.06,0.07
5,0.9,0.08,0.08,0.07,0.08,0.07,0.07,0.09,0.04,0.07,0.09,0.06,0.08,0.06,0.14,0.08,0.07,0.09,0.07,0.1,0.08,0.09,0.08,0.07,0.07,0.08,0.09,0.08,0.06,0.08,0.06,0.08,0.07,0.14,0.08,0.08,0.08,0.07,0.1,0.08,0.07,0.11,0.05,0.09,0.1,0.1,0.07,0.1,0.07,0.07,0.08
5,0.99,0.14,0.15,0.1,0.13,0.15,0.19,0.17,0.17,0.09,0.11,0.14,0.18,0.11,0.09,0.15,0.1,0.09,0.17,0.14,0.16,0.15,0.12,0.17,0.11,0.14,0.13,0.22,0.09,0.08,0.14,0.11,0.1,0.08,0.14,0.16,0.21,0.13,0.26,0.12,0.09,0.09,0.09,0.1,0.08,0.13,0.09,0.12,0.1,0.16,0.11
10,0.1,0.02,0.02,0.03,0.04,0.02,0.22,0.05,0.03,0.03,0.05,0.03,0.02,0.03,0.03,0.1,0.06,0.03,0.04,0.1,0.02,0.02,0.03,0.02,0.03,0.03,0.04,0.04,0.03,16.97,0.04,0.2,0.05,0.05,0.02,0.21,0.04,0.03,0.03,0.03,0.58,0.03,0.03,0.03,0.67,0.05,0.02,0.51,0.03,0.04,0.03
10,0.3,0.02,0.03,0.04,0.02,0.02,0.02,0.32,0.02,0.06,0.02,0.07,0.12,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.06,0.02,0.03,0.02,0.03,0.07,0.02,0.07,0.02,0.02,0.02,0.04,0.02,0.05,0.02,0.02,0.04,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.03,33.65,0.02,0.03,0.04,0.03,0.02
10,0.5,0.06,0.06,0.03,0.04,0.02,0.03,0.02,0.02,0.06,0.03,0.1,0.04,0.04,0.02,0.05,0.02,0.07,0.04,0.06,0.03,0.04,0.03,0.04,0.05,0.05,0.02,0.05,0.07,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.04,0.04,0.05,0.05,0.06,0.04,0.02,0.06,0.06,0.02,0.06,0.04,0.07,0.06,0.08
10,0.7,0.06,0.05,0.05,0.07,0.05,0.06,0.05,0.07,0.06,0.07,0.05,0.07,0.08,0.06,0.06,0.06,0.05,0.06,0.04,0.04,0.07,0.07,0.08,0.07,0.07,0.04,0.05,0.07,0.12,0.05,0.06,0.05,0.05,0.05,0.06,0.06,0.05,0.07,0.07,0.04,0.07,0.04,0.06,0.07,0.04,0.07,0.06,0.04,0.04,0.06
10,0.9,0.11,0.08,0.12,0.12,0.08,0.09,0.13,0.06,0.09,0.15,0.08,0.11,0.11,0.16,0.06,0.06,0.09,0.07,0.08,0.09,0.08,0.12,0.07,0.07,0.06,0.13,0.09,0.07,0.08,0.06,0.08,0.07,0.08,0.06,0.17,0.19,0.13,0.08,0.09,0.13,0.09,0.07,0.08,0.12,0.11,0.08,0.09,0.07,0.11,0.11
10,0.99,0.19,0.15,0.09,0.11,0.18,0.2,0.21,0.12,0.23,0.18,0.12,0.18,0.19,0.12,0.17,0.11,0.17,0.17,0.17,0.13,0.14,0.1,0.08,0.19,0.16,0.09,0.2,0.14,0.21,0.11,0.16,0.1,0.12,0.12,0.14,0.09,0.16,0.21,0.1,0.19,0.14,0.15,0.09,0.2,0.09,0.09,0.12,0.12,0.16,0.2
inf,0.1,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
inf,0.3,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.04,0.02,0.02,0.02,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.03,0.03,0.04,0.03,0.04,0.06,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.05,0.02,0.04
inf,0.5,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.11,0.01,0.02,0.02,0.03,0.02,0.03,0.02,0.05,0.04,0.02,0.01,0.02,0.05,0.03,0.05,0.02,0.03,0.03,0.02,0.04,0.02,0.05,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.06,0.02,0.02,0.02
inf,0.7,0.04,0.06,0.05,0.08,0.04,0.07,0.08,0.07,0.04,0.08,0.03,0.04,0.06,0.08,0.04,0.05,0.03,0.04,0.02,0.02,0.06,0.06,0.06,0.03,0.05,0.02,0.05,0.04,0.06,0.05,0.06,0.05,0.05,0.06,0.04,0.04,0.02,0.05,0.04,0.02,0.04,0.06,0.06,0.06,0.06,0.04,0.03,0.03,0.05,0.02
inf,0.9,0.09,0.07,0.06,0.07,0.05,0.07,0.07,0.06,0.05,0.11,0.06,0.11,0.09,0.08,0.07,0.06,0.08,0.08,0.08,0.05,0.06,0.09,0.08,0.1,0.05,0.09,0.03,0.07,0.1,0.1,0.08,0.08,0.06,0.08,0.08,0.11,0.1,0.03,0.08,0.06,0.07,0.07,0.06,0.12,0.09,0.09,0.05,0.02,0.12,0.1
